horizon_slice,dgp,dgp_label,correct_model,n,method,mean_MASE,median_MASE,mean_RMSSE,mean_sMAPE,mean_SPL,n_series,n_missing
h1,D5,"ETS(A,A,A)",ETS,200,AutoETS,0.5178155225422818,0.4219556479829246,0.42628886353535683,1.457315669035721,0.1981034252163963,200,0
h1,D5,"ETS(A,A,A)",ETS,200,Combination,0.5084053585832219,0.43898805850381173,0.41915085916443845,1.4527687196343726,0.19533115174591986,200,0
h1,D5,"ETS(A,A,A)",ETS,200,SeasonalNaive,1.0081342866101235,0.8930301197324559,0.8365414108254842,2.862421293722777,0.3790166323050231,200,0
h1,D5,"ETS(A,A,A)",ETS,200,Theta,0.6456811530504298,0.5143882401625776,0.5349999569283738,1.8820458809607725,0.2554234447291437,200,0
h1,D5,"ETS(A,A,A)",ETS,200,TimesFM3,0.4984698796976309,0.41117357458117115,0.4107960931160246,1.4101807963520674,0.1934863108761542,200,0
h1,D6,Local level with structural break,none,24,AutoARIMA,0.7502328928171855,0.6256014690694359,0.4560628583997711,1.886586460789029,0.3185720856427002,200,0
h1,D6,Local level with structural break,none,24,AutoETS,0.7148168786377745,0.5503354218219985,0.4334994212089358,1.7853165900710022,0.315722009230904,200,0
h1,D6,Local level with structural break,none,24,Combination,0.7166975119549605,0.5617532311339255,0.43519744564089435,1.7946788427212155,0.31235662704086226,200,0
h1,D6,Local level with structural break,none,24,SeasonalNaive,0.7481608695020896,0.6256014690694359,0.45473575527414206,1.8804445496498914,0.3183921127803086,200,0
h1,D6,Local level with structural break,none,24,Theta,0.7100664063504122,0.564323313728057,0.431178420789774,1.776428859541578,0.31243861559763747,200,0
h1,D6,Local level with structural break,none,24,TimesFM3,0.6680846974504423,0.5333354559105252,0.4035750888538137,1.6625565086525518,0.26725087837116485,200,0
h1,D6,Local level with structural break,none,48,AutoARIMA,0.823155252682789,0.6644907487262048,0.5349545764083969,1.8124737818369459,0.337996388317431,200,0
h1,D6,Local level with structural break,none,48,AutoETS,0.7784128289013539,0.6115025087540129,0.506331229174695,1.7155970016658688,0.3255992370817012,200,0
h1,D6,Local level with structural break,none,48,Combination,0.7892340149978064,0.6175363824440291,0.513378893681716,1.7382944903511748,0.32818155386082526,200,0
h1,D6,Local level with structural break,none,48,SeasonalNaive,0.8707241674759112,0.6997103692508436,0.5671381488339401,1.9312914508893047,0.35252469780250806,200,0
h1,D6,Local level with structural break,none,48,Theta,0.7777388582414314,0.6291246122290404,0.5059495417578401,1.712894052981479,0.3271688204062302,200,0
h1,D6,Local level with structural break,none,48,TimesFM3,0.7010504018593379,0.5054764153792644,0.45382004980814555,1.5356302324431608,0.27747152317403306,200,0
h1,D6,Local level with structural break,none,96,AutoARIMA,0.7725911276821701,0.6562923278219279,0.5444573822587293,1.5863619096838946,0.30710399794880633,200,0
h1,D6,Local level with structural break,none,96,AutoETS,0.7680456889572856,0.648005579616555,0.5416500836784075,1.578395576785944,0.30701386883423454,200,0
h1,D6,Local level with structural break,none,96,Combination,0.7678082093038329,0.6527045356183248,0.5414227404528094,1.577888264272061,0.30548490569027037,200,0
h1,D6,Local level with structural break,none,96,SeasonalNaive,0.8799904110714408,0.7737819942995203,0.6204543294894179,1.8160782172646166,0.34268277052024887,200,0
h1,D6,Local level with structural break,none,96,Theta,0.7683801926001892,0.6511310778707702,0.5419676474838173,1.579955652269174,0.30545628849900713,200,0
h1,D6,Local level with structural break,none,96,TimesFM3,0.7087669143587657,0.5973945484129992,0.4997857470332733,1.4577633362945794,0.27427463572752186,200,0
h1,D6,Local level with structural break,none,200,AutoARIMA,0.7344797518386359,0.5744491111057883,0.5465902553951127,1.4535758607799552,0.29645643615873635,200,0
h1,D6,Local level with structural break,none,200,AutoETS,0.73286043154313,0.5683144154151882,0.5455518694589582,1.4504174858108931,0.2961003273739745,200,0
h1,D6,Local level with structural break,none,200,Combination,0.7328689407882145,0.5672658801394914,0.5455041802822558,1.450548433744518,0.29581568624595744,200,0
h1,D6,Local level with structural break,none,200,SeasonalNaive,0.862789838458141,0.6709012466875182,0.642797473318576,1.7093479758247485,0.33945338451968154,200,0
h1,D6,Local level with structural break,none,200,Theta,0.7351779061302767,0.5474232418728295,0.547272174519151,1.4550323759699992,0.29695112531450696,200,0
h1,D6,Local level with structural break,none,200,TimesFM3,0.7476360402855987,0.6091281226778751,0.5568913238758992,1.47972154632627,0.29510516101816603,200,0
h1,D7,Logistic growth,none,24,AutoARIMA,0.7271421627512763,0.6127639064179893,0.589824694189346,2.5122282848500213,0.2842177365785774,200,0
h1,D7,Logistic growth,none,24,AutoETS,0.8146723421646287,0.7157745553079825,0.6593998386828942,2.807188247474416,0.32227087545483324,200,0
h1,D7,Logistic growth,none,24,Combination,0.7847532738731964,0.5914779423277121,0.6359268301044199,2.7103293840765206,0.3064900750891935,200,0
h1,D7,Logistic growth,none,24,SeasonalNaive,1.060566420030776,0.860076010746391,0.8559283164995348,3.6683989278244526,0.41776712748308903,200,0
h1,D7,Logistic growth,none,24,Theta,0.8938139740975596,0.7096011864859697,0.7228283343126073,3.0939418006228334,0.3485069103687833,200,0
h1,D7,Logistic growth,none,24,TimesFM3,0.7475756221069968,0.5797685347838496,0.6062117929390418,2.5781057914393077,0.2936175456643144,200,0
h1,D7,Logistic growth,none,48,AutoARIMA,0.755763370683517,0.6138778203096797,0.6086903149937536,2.021333046541407,0.2919039564502495,200,0
h1,D7,Logistic growth,none,48,AutoETS,0.7897222605232506,0.7343570181108005,0.6356522629265323,2.1132441996774856,0.3015639894663218,200,0
h1,D7,Logistic growth,none,48,Combination,0.7280340114992144,0.5974832852822635,0.5866387454185102,1.948400728458557,0.28285852061902395,200,0
h1,D7,Logistic growth,none,48,SeasonalNaive,1.085978147201971,0.8716722396969803,0.873101441420961,2.929904123131154,0.42157022551571816,200,0
h1,D7,Logistic growth,none,48,Theta,0.8970172858620079,0.7490213176168679,0.7215592750067175,2.4079494485764177,0.3450620480701923,200,0
h1,D7,Logistic growth,none,48,TimesFM3,0.6817456925679606,0.5556817895188804,0.5492979245430543,1.8202014083276927,0.2638699793618488,200,0
h1,D7,Logistic growth,none,96,AutoARIMA,0.7631825312833596,0.6346522445879479,0.6088945270654618,1.5350570232593355,0.29606904993699934,200,0
h1,D7,Logistic growth,none,96,AutoETS,0.7606039235759523,0.6016458641449579,0.6068059584809911,1.5280203485918107,0.29583194684605635,200,0
h1,D7,Logistic growth,none,96,Combination,0.7228004046787414,0.5939746515120193,0.5762774004718593,1.4506514032156403,0.28311149712494915,200,0
h1,D7,Logistic growth,none,96,SeasonalNaive,0.9088569131357273,0.8609676253992877,0.7245497220795822,1.8409080315958926,0.34015376781294515,200,0
h1,D7,Logistic growth,none,96,Theta,0.7534465666733604,0.6661853770735542,0.6001598688177964,1.5167451573905248,0.28969060876153646,200,0
h1,D7,Logistic growth,none,96,TimesFM3,0.7038527552689077,0.5973734260034054,0.5610788766110612,1.4149953009293095,0.27578077309536153,200,0
h1,D7,Logistic growth,none,200,AutoARIMA,0.7590159172340425,0.5795162836228615,0.6052584810877955,1.3610414334574483,0.3004631541379289,200,0
h1,D7,Logistic growth,none,200,AutoETS,0.7566610458831573,0.5741562236634166,0.6031649414602349,1.3552245664247016,0.29858357604656144,200,0
h1,D7,Logistic growth,none,200,Combination,0.7450772767003059,0.5537987544887837,0.5939577018361383,1.334574590695371,0.29660625576450056,200,0
h1,D7,Logistic growth,none,200,SeasonalNaive,0.8982575086346354,0.767920196944962,0.7159809330752114,1.613231850406797,0.345600813628076,200,0
h1,D7,Logistic growth,none,200,Theta,0.7998682575668054,0.6148860664605178,0.6377024445153284,1.4319812568259267,0.3171734983975536,200,0
h1,D7,Logistic growth,none,200,TimesFM3,0.7306801996803103,0.5955233201493648,0.582410628438354,1.308155953363555,0.29036764843011675,200,0
h1,D8,Intermittent demand,none,24,AutoARIMA,1.0359493259907637,0.6670615806842507,0.6533614723952083,164.6030752703143,0.4016014258900832,200,0
h1,D8,Intermittent demand,none,24,AutoETS,1.0319586002986634,0.6591692426528987,0.6477075636979843,165.30204985126966,0.3964273352845528,200,0
h1,D8,Intermittent demand,none,24,Combination,1.034553523428548,0.6644851943718629,0.6487411696790935,166.23917802036078,0.39916229892180594,200,0
h1,D8,Intermittent demand,none,24,SeasonalNaive,1.101843776545338,0.33108947804473904,0.6889315873495302,91.09629259629259,0.5159297767590076,200,0
h1,D8,Intermittent demand,none,24,Theta,1.0398654675524943,0.6863441998775022,0.6479938879177933,167.68428475141226,0.41144159754829607,200,0
