horizon_slice,dgp,dgp_label,n,method,cover60,cover80,width60,width80
h1,D9,"AR(1) with GARCH(1,1) errors",24,SeasonalNaive,0.57,0.76,2.0860297809039787,3.1764345109747585
h1,D9,"AR(1) with GARCH(1,1) errors",24,Theta,0.53,0.73,1.8649021966019166,2.9337136538613398
h1,D9,"AR(1) with GARCH(1,1) errors",24,TimesFM3,0.58,0.75,1.9916587007862383,3.140515104759552
h1,D9,"AR(1) with GARCH(1,1) errors",48,AutoARIMA,0.49,0.7,1.8822909287900371,2.866197750691949
h1,D9,"AR(1) with GARCH(1,1) errors",48,AutoETS,0.505,0.745,2.0586388547157046,3.1347258623118948
h1,D9,"AR(1) with GARCH(1,1) errors",48,Combination,0.505,0.75,1.966735433956169,3.027700133351944
h1,D9,"AR(1) with GARCH(1,1) errors",48,SeasonalNaive,0.615,0.73,2.1207599854184385,3.229318808793908
h1,D9,"AR(1) with GARCH(1,1) errors",48,Theta,0.48,0.73,1.9592765183627643,3.0821767870519894
h1,D9,"AR(1) with GARCH(1,1) errors",48,TimesFM3,0.515,0.75,2.0065863409853804,3.118556102836789
h1,D9,"AR(1) with GARCH(1,1) errors",96,AutoARIMA,0.635,0.77,1.8985748247754968,2.89099352765297
h1,D9,"AR(1) with GARCH(1,1) errors",96,AutoETS,0.635,0.82,2.073739104179286,3.157719279740318
h1,D9,"AR(1) with GARCH(1,1) errors",96,Combination,0.645,0.815,1.993175715215874,3.0687662782234595
h1,D9,"AR(1) with GARCH(1,1) errors",96,SeasonalNaive,0.645,0.825,2.131395697427008,3.2455139959298145
h1,D9,"AR(1) with GARCH(1,1) errors",96,Theta,0.61,0.83,2.0072132166928363,3.157586027277089
h1,D9,"AR(1) with GARCH(1,1) errors",96,TimesFM3,0.64,0.79,1.9538015163797369,3.024576454198241
h1,D9,"AR(1) with GARCH(1,1) errors",200,AutoARIMA,0.57,0.795,1.910599016948995,2.9093029781393103
h1,D9,"AR(1) with GARCH(1,1) errors",200,AutoETS,0.585,0.83,2.081417722910251,3.169411648543934
h1,D9,"AR(1) with GARCH(1,1) errors",200,Combination,0.57,0.83,2.0075654543780943,3.091072172606737
h1,D9,"AR(1) with GARCH(1,1) errors",200,SeasonalNaive,0.605,0.82,2.14242340890805,3.2623060876085197
h1,D9,"AR(1) with GARCH(1,1) errors",200,Theta,0.555,0.825,2.030679623275034,3.194501891136964
h1,D9,"AR(1) with GARCH(1,1) errors",200,TimesFM3,0.57,0.805,1.8928663559232937,2.928952248695046
h1_12,D1,AR(1),24,AutoARIMA,0.5675,0.7554166666666667,3.0798373958291796,4.689722976084756
h1_12,D1,AR(1),24,AutoETS,0.65375,0.82375,3.893745279205597,5.929074932215949
h1_12,D1,AR(1),24,Combination,0.6383333333333333,0.8158333333333333,3.6302307158301703,5.501840408818186
h1_12,D1,AR(1),24,SeasonalNaive,0.7666666666666667,0.92125,5.099918020822627,7.765735538762549
h1_12,D1,AR(1),24,Theta,0.6141666666666666,0.7920833333333333,3.9171094724557345,5.886723318153855
h1_12,D1,AR(1),24,TimesFM3,0.6175,0.8208333333333333,3.095047141576187,5.024644770523359
h1_12,D1,AR(1),48,AutoARIMA,0.5741666666666666,0.7745833333333333,3.0343726941493294,4.620493069220978
h1_12,D1,AR(1),48,AutoETS,0.68,0.8445833333333332,4.118280807788378,6.270979160266437
h1_12,D1,AR(1),48,Combination,0.6695833333333333,0.84375,3.778550811432442,5.736049562893952
h1_12,D1,AR(1),48,SeasonalNaive,0.7658333333333333,0.91,5.114634230421041,7.788144171883253
h1_12,D1,AR(1),48,Theta,0.67,0.8391666666666667,4.182998932359619,6.316676459194443
h1_12,D1,AR(1),48,TimesFM3,0.59125,0.81,2.902255672758303,4.551057055465956
h1_12,D1,AR(1),96,AutoARIMA,0.5825,0.7845833333333333,2.702556619179837,4.115230852220155
h1_12,D1,AR(1),96,AutoETS,0.705,0.87375,4.189951162010196,6.380112878609285
h1_12,D1,AR(1),96,Combination,0.6870833333333333,0.8679166666666667,3.713678599002746,5.643758865030292
h1_12,D1,AR(1),96,SeasonalNaive,0.7716666666666667,0.91875,5.127001297726441,7.806975724408549
